Fish,Rating,Sustainability rating,Pesce
Prawn Northern prawns Northern shrimp ,from two to three,2-3,Gamberetti del Gamberetto Northern Gamberetti del Nord 
Prawn Tiger prawns (Farmed) ,from two to five,2-5,Gamberi tigre gamberi (coltivati) 
Ray Blonde ,five,5,Ray Blonde. 
Ray Cuckoo ,from four to five,4-5,Ray Cuckoo. 
Ray Sandy ,five,5,Ray Sandy. 
Ray Shagreen ,five,5,Ray Shoreen. 
Ray Smalleyed ,five,5,Ray Smalleyed. 
Ray Spotted ,from three to five,3-5,Raggio macchiato 
Ray Starry ,five,5,Ray Starry. 
Ray Thornback ray Roker ,from three to five,3-5,Ray Thornback Ray Roker 
Ray Undulate ,from four to five,4-5,Ray ondulato. 
Salmon Atlantic ,from one to five,1-5,Salmon Atlantico. 
Salmon Chum Keta Calico or Dog salmon ,two,2,Salmone chum keta calico o salmone del cane 
Salmon Pink Spring humpback ,two,2,Humpback rosa salmone rosa 
Salmon Sockeye Red Salmon Bluebacks Redfish ,two,2,Salmone Sockeye Red Salmon Backbacks Bluebacks Redfish 
Sardine European pilchard sardines ,from two to four,2-4,Sardine Sardine europee di Pardine 
Sawfish ,five,5,Pesce sega 
Scallop King scallops ,from one to five,1-5,Scallops capesante re 
Scallop Queen scallops ,from one to five,1-5,Capesante della regina capesante 
Shark Angel ,five,5,Squalo Angel. 
Shark Blue ,five,5,Shark Blue. 
Shark Porbeagle ,five,5,Shark Porbeagle. 
Shark Tope ,five,5,Shark Tope. 
Shrimp brown or common ,rating under review,rating under review,Gamberetti marroni o comuni 
Skate Common ,five,5,Skate Common. 
Skate Longnosed ,five,5,Skate longnosed. 
Skate Norwegian or Black ,five,5,Skate norvegese o nero 
Skate White ,five,5,Skate Bianco. 
Smoothhound ,five,5,Smoothhound. 
Sole Dover sole Common sole ,from two to five with at least one rating under review,2-5*,Sole Dover sole Common sole 
Sole Lemon ,from three to four,3-4,Limone unico 
Sole Sand ,from three to four,3-4,Sole sabbia 
Sprat whitebait ,from three to four,3-4,Sprat whitebait. 
Spurdog Spiny Dogfish Dogfish Rock Salmon or Flake ,from two to five,2-5,Salmone o fiocco di doghish dogfish spurdog spiny 
Squid Argentine short fin ,four,4,Calamaro argentino aletta corta 
Squid Atlantic Common European Veined ,three,3,Calamaro atlantico comune europeo venato 
Squid Indian ,from three to four,3-4,Calamaro indiano 
Squid Japanese flying ,two,2,Volo giapponese calamaro 
Sturgeon (Caught at sea) ,five,5,Storgeon (catturato in mare) 
Sturgeon (Farmed) ,two,2,Storione (coltivato) 
Swordfish ,from two to five,2-5,Pesce spada 
Tilapia ,from two to four,2-4,Tilapia 
Trout Rainbow ,from two to three,2-3,Trota arcobaleno. 
Tuna albacore ,from one to four,1-4,Tonno Albacore. 
Tuna Atlantic bluefin ,from four to five,4-5,Tonno atlantico Bluefin. 
Tuna Pacific bluefin ,five,5,Tonno pacifico Bluefin. 
Tuna skipjack ,from two to five,2-5,Tonno skipjack. 
Tuna southern bluefin ,five,5,Tonno southern bluefin. 
Tuna yellowfin ,from two to five,2-5,Tonno yellowfin. 
Turbot (Caught at sea) ,from three to four,3-4,Turbot (catturato in mare) 
Turbot (Farmed) ,two,2,Turbot (coltivato) 
Tusk ,three,3,Zanna 
Whelk common whelk ,from four to five,4-5,Whelk Whelk Common. 
Whiting ,from three to five,3-5,Whrening. 
Winkle winkles ,rating under review,rating under review,Winkle Winkles. 
Witch Witch flounder Torbay sole ,four,4,Witch Witch Flounder Torbay Sole 
Wolffish ,three,3,Wolffish. 
Wrasse Ballan ,four,4,Wrasse Ballan. 
Wreckfish ,four,4,Winckfish. 
